time,speed,direction,TL_300107,TL_300108
2022-12-07 18:30:00,1.3057407998146413,306.53770685881403,129.5,1.4399999
2022-12-07 19:30:00,1.7060490468268978,343.39425083143374,128.5,1.08
2022-12-07 21:30:00,2.354301306961373,6.96995009814054,129.3,1.4399999
2022-12-07 22:30:00,2.4671565007015817,16.01687000833578,86.7,0.35999998
2022-12-07 23:30:00,2.620612386279508,17.42607510657001,266.0,1.4399999
2022-12-08 00:30:00,2.637652934412546,20.27655335256162,201.4,1.8
2022-12-08 01:30:00,2.5757902729318243,23.398042274276897,129.0,0.71999997
2022-12-08 02:30:00,2.4729491148447624,24.811437644365064,220.6,2.52
2022-12-08 03:30:00,2.368483583757476,22.28652987240562,268.1,2.8799999
2022-12-08 04:30:00,2.469701334202928,18.161829683203266,217.4,0.0
2022-12-08 05:30:00,2.627791982449517,15.399268710378758,214.8,1.4399999
2022-12-08 06:30:00,2.796800714087619,12.990943949468473,139.4,0.0
2022-12-08 07:30:00,3.001008262736134,14.31285082762696,247.4,2.52
2022-12-08 08:30:00,2.7643138840072585,17.8777065193321,173.2,1.4399999
2022-12-08 09:30:00,2.923601444011031,18.39248897446523,350.3,5.7599998
2022-12-08 10:30:00,2.8455534815681784,14.369888738670058,358.7,5.7599998
2022-12-08 11:30:00,2.6569328528983243,10.364989691089784,358.8,6.8399997
2022-12-08 12:30:00,2.489327307310826,4.040446793618758,112.3,9.0
2022-12-08 13:30:00,2.4297265392354737,356.8333551258218,222.2,2.16
2022-12-08 14:30:00,2.381210361535467,356.9470185753176,119.4,0.71999997
2022-12-08 17:30:00,2.848006284341119,7.312860132072925,127.3,2.52
2022-12-08 18:30:00,2.9618196181374112,9.287846991385539,313.1,0.0
2022-12-08 19:30:00,2.9839387788990055,8.802187361329548,3.2,3.2399998
2022-12-08 20:30:00,2.9202367979199075,5.098600799738878,102.3,2.16
2022-12-08 21:30:00,2.9624789568435417,1.219481434687688,189.4,1.08
2022-12-08 22:30:00,3.1410067264701316,0.6730877588586913,358.3,0.0
2022-12-08 23:30:00,3.355294989791378,1.2820971242662862,179.0,1.8
2022-12-09 00:30:00,3.4394418101796846,8.208761025239598,276.6,0.0
2022-12-09 01:30:00,3.3096611357649133,28.91461557309043,0.0,2.52
2022-12-09 02:30:00,2.8825925728049264,57.86964037720187,296.7,0.0
2022-12-09 03:30:00,2.652633809254273,66.52554652160521,66.3,0.0
2022-12-09 04:30:00,2.6919007360069007,58.03932946635041,59.8,0.0
2022-12-09 05:30:00,2.854126957181853,49.93841388932531,289.6,0.0
2022-12-09 06:30:00,2.892261848095459,42.337802657581555,121.9,0.0
2022-12-09 07:30:00,2.904634579720334,37.892608568140595,188.9,2.8799999
2022-12-09 08:30:00,2.592730405418761,39.04726832429408,98.4,2.8799999
2022-12-09 09:30:00,2.9094571464080996,46.97559828104224,322.5,1.4399999
2022-12-09 10:30:00,3.109458757472873,55.73773767527182,136.0,2.16
2022-12-09 21:30:00,1.405821036075737,111.24767311439588,153.7,0.0
2022-12-09 22:30:00,1.7988697349362037,122.89884440063014,194.6,0.0
2022-12-09 23:30:00,2.8876866000453725,118.2841389451474,136.4,3.2399998
2022-12-10 00:30:00,3.8826076896333697,110.49126658080506,83.4,1.4399999
2022-12-10 01:30:00,4.341840215792887,106.30201814538674,197.0,0.35999998
2022-12-10 02:30:00,4.782292463655037,105.46847850404335,138.3,1.8
2022-12-10 03:30:00,4.926842928373652,101.4202549444248,136.3,1.4399999
2022-12-10 04:30:00,4.771281146038896,96.58928097499164,136.6,0.35999998
2022-12-10 05:30:00,4.380222335861057,93.86516633659697,18.7,0.71999997
2022-12-10 06:30:00,3.260800374452525,87.01746176436158,334.6,11.159999
2022-12-10 07:30:00,2.725321340932492,79.50698955834407,185.7,1.08
2022-12-10 08:30:00,3.6704847466662955,77.53497407475176,14.6,7.2
2022-12-10 09:30:00,3.524466312776329,93.04593540286459,343.6,5.04
2022-12-10 10:30:00,3.4453042161407628,110.93811055053497,32.9,1.4399999
2022-12-10 11:30:00,3.646050076038529,119.66701442272691,18.1,4.68
2022-12-10 12:30:00,3.658938115968019,123.41963386505101,358.8,3.6
2022-12-10 13:30:00,3.5482384549306203,123.62280060641487,333.8,3.2399998
2022-12-10 14:30:00,3.442557344727057,122.09832191098586,352.8,5.3999996
2022-12-10 15:30:00,2.9064533038460794,116.31021883502481,3.2,5.3999996
2022-12-10 16:30:00,1.7491295129003026,97.1899213888391,357.9,3.96
2022-12-10 17:30:00,1.8658116151068933,74.06732289070172,303.0,1.08
2022-12-10 18:30:00,1.9469238868779861,66.33358703136294,4.9,3.6
2022-12-10 19:30:00,2.121301861431522,60.10394656063947,39.8,0.35999998
2022-12-10 20:30:00,2.095433336209352,50.251661933657275,34.9,0.0
2022-12-10 21:30:00,2.013146858618743,46.181583220131564,150.9,0.71999997
2022-12-10 22:30:00,2.0355011679033783,38.51458906699065,173.3,0.0
2022-12-10 23:30:00,1.982099545675685,36.061903467196444,164.5,0.0
2022-12-11 00:30:00,1.9333517177933797,39.61401829021343,137.1,1.08
2022-12-11 01:30:00,1.8538963731391673,27.133094193292923,152.1,0.71999997
2022-12-11 02:30:00,1.8596651643825948,23.919878609902227,279.3,1.08
2022-12-11 03:30:00,1.8034429217662211,16.073388897221975,190.0,0.71999997
2022-12-11 04:30:00,1.9017359900488748,8.419697636456364,134.3,0.71999997
2022-12-11 05:30:00,1.9868342992344528,5.58657141526327,151.8,0.0
2022-12-11 06:30:00,2.1420132603636883,3.273888747694589,202.1,0.35999998
